section,object_name,detail_type,details
S2_columns,document_analysis.definitions,column,"{""udt_name"":""jsonb"",""data_type"":""jsonb"",""table_name"":""document_analysis"",""column_name"":""definitions"",""is_identity"":""NO"",""is_nullable"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":""'[]'::jsonb"",""ordinal_position"":9,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,document_analysis.difficulty_level,column,"{""udt_name"":""text"",""data_type"":""text"",""table_name"":""document_analysis"",""column_name"":""difficulty_level"",""is_identity"":""NO"",""is_nullable"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":null,""ordinal_position"":5,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,document_analysis.document_id,column,"{""udt_name"":""uuid"",""data_type"":""uuid"",""table_name"":""document_analysis"",""column_name"":""document_id"",""is_identity"":""NO"",""is_nullable"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":null,""ordinal_position"":2,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,document_analysis.estimated_study_minutes,column,"{""udt_name"":""int4"",""data_type"":""integer"",""table_name"":""document_analysis"",""column_name"":""estimated_study_minutes"",""is_identity"":""NO"",""is_nullable"":""YES"",""is_generated"":""NEVER"",""numeric_scale"":0,""column_default"":null,""ordinal_position"":6,""numeric_precision"":32,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,document_analysis.examples,column,"{""udt_name"":""jsonb"",""data_type"":""jsonb"",""table_name"":""document_analysis"",""column_name"":""examples"",""is_identity"":""NO"",""is_nullable"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":""'[]'::jsonb"",""ordinal_position"":11,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,document_analysis.formulas,column,"{""udt_name"":""jsonb"",""data_type"":""jsonb"",""table_name"":""document_analysis"",""column_name"":""formulas"",""is_identity"":""NO"",""is_nullable"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":""'[]'::jsonb"",""ordinal_position"":10,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,document_analysis.id,column,"{""udt_name"":""uuid"",""data_type"":""uuid"",""table_name"":""document_analysis"",""column_name"":""id"",""is_identity"":""NO"",""is_nullable"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":""gen_random_uuid()"",""ordinal_position"":1,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,document_analysis.key_concepts,column,"{""udt_name"":""jsonb"",""data_type"":""jsonb"",""table_name"":""document_analysis"",""column_name"":""key_concepts"",""is_identity"":""NO"",""is_nullable"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":""'[]'::jsonb"",""ordinal_position"":8,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,document_analysis.keywords,column,"{""udt_name"":""_text"",""data_type"":""ARRAY"",""table_name"":""document_analysis"",""column_name"":""keywords"",""is_identity"":""NO"",""is_nullable"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":""'{}'::text[]"",""ordinal_position"":12,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,document_analysis.learning_objectives,column,"{""udt_name"":""jsonb"",""data_type"":""jsonb"",""table_name"":""document_analysis"",""column_name"":""learning_objectives"",""is_identity"":""NO"",""is_nullable"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":""'[]'::jsonb"",""ordinal_position"":16,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
