section,object_name,detail_type,details
SA05_routine_dependencies,public.set_user_profiles_updated_at(),dependency,"{""proname"":""set_user_profiles_updated_at"",""dep_type"":""n"",""ref_objid"":""2200"",""ref_classid"":""pg_namespace"",""ref_objsubid"":0,""ref_object_name"":""public""}"
SA05_routine_dependencies,public.sync_user_profiles_identity(),dependency,"{""proname"":""sync_user_profiles_identity"",""dep_type"":""n"",""ref_objid"":""13619"",""ref_classid"":""pg_language"",""ref_objsubid"":0,""ref_object_name"":""13619""}"
SA05_routine_dependencies,public.sync_user_profiles_identity(),dependency,"{""proname"":""sync_user_profiles_identity"",""dep_type"":""n"",""ref_objid"":""2200"",""ref_classid"":""pg_namespace"",""ref_objsubid"":0,""ref_object_name"":""public""}"
SA05_routine_dependencies,public.update_updated_at(),dependency,"{""proname"":""update_updated_at"",""dep_type"":""n"",""ref_objid"":""2200"",""ref_classid"":""pg_namespace"",""ref_objsubid"":0,""ref_object_name"":""public""}"
SA05_routine_dependencies,public.update_updated_at(),dependency,"{""proname"":""update_updated_at"",""dep_type"":""n"",""ref_objid"":""13619"",""ref_classid"":""pg_language"",""ref_objsubid"":0,""ref_object_name"":""13619""}"
SA05_routine_dependencies,public.validate_resource_subject_ownership(),dependency,"{""proname"":""validate_resource_subject_ownership"",""dep_type"":""n"",""ref_objid"":""2200"",""ref_classid"":""pg_namespace"",""ref_objsubid"":0,""ref_object_name"":""public""}"
SA05_routine_dependencies,public.validate_resource_subject_ownership(),dependency,"{""proname"":""validate_resource_subject_ownership"",""dep_type"":""n"",""ref_objid"":""13619"",""ref_classid"":""pg_language"",""ref_objsubid"":0,""ref_object_name"":""13619""}"
SA06_routine_dependents,public.set_subjects_updated_at(),dependent,"{""proname"":""set_subjects_updated_at"",""dep_type"":""n"",""dep_objid"":""26343"",""dep_classid"":""pg_trigger"",""dep_objsubid"":0,""dep_object_name"":""set_subjects_updated_at on subjects""}"
SA06_routine_dependents,public.set_user_profiles_updated_at(),dependent,"{""proname"":""set_user_profiles_updated_at"",""dep_type"":""n"",""dep_objid"":""26242"",""dep_classid"":""pg_trigger"",""dep_objsubid"":0,""dep_object_name"":""set_user_profiles_updated_at on user_profiles""}"
SA06_routine_dependents,public.sync_user_profiles_identity(),dependent,"{""proname"":""sync_user_profiles_identity"",""dep_type"":""n"",""dep_objid"":""26257"",""dep_classid"":""pg_trigger"",""dep_objsubid"":0,""dep_object_name"":""sync_user_profiles_identity_trigger on user_profiles""}"
